fcode	l2_code	original_row	neighbor_count
1	30769	1	2
2	30742	2	4
3	30760	3	4
4	30766	4	4
5	28720	5	2
6	28315	6	3
7	28729	7	4
8	28723	8	4
9	28894	9	7
10	28901	10	4
11	31213	11	5
12	31217	12	5
13	30478	13	4
14	29929	14	3
15	30481	15	9
16	31528	16	5
17	31531	17	8
18	31537	18	4
19	31540	19	5
20	31552	20	8
21	31673	21	5
22	31675	22	7
23	31679	23	3
24	28984	24	7
25	29020	25	6
26	29029	26	6
27	29044	27	6
28	28393	28	4
29	31882	29	7
30	30208	30	6
31	30226	31	6
32	30505	32	3
33	32167	33	5
34	30502	34	4
35	30520	35	3
36	30526	36	7
37	31825	37	6
38	29242	38	6
39	32025	39	3
40	28378	40	6
41	31858	41	6
42	31864	42	5
43	31867	43	4
44	31876	44	7
45	29905	45	7
46	30367	46	6
47	29467	47	6
48	30952	48	5
49	30949	49	5
50	30970	50	6
51	28321	51	4
52	28336	52	3
53	28345	53	7
54	29062	54	5
55	29083	55	6
56	29077	56	5
57	28327	57	4
58	28366	58	5
59	28783	59	6
60	31507	60	6
61	31510	61	6
62	30796	62	4
63	30790	63	5
64	30898	64	5
65	30787	65	3
66	30388	67	6
67	30377	68	5
68	30403	69	6
69	30376	70	5
70	28879	71	6
71	28870	72	5
72	30817	74	4
73	30823	75	4
74	30826	76	5
75	30835	77	3
76	30838	78	6
77	28504	79	7
78	28501	80	6
79	30469	81	6
80	30487	82	8
81	30463	83	6
82	31840	84	4
83	31849	85	6
84	31843	86	7
85	31186	87	7
86	31031	88	4
87	31018	89	7
88	31036	90	3
89	31042	91	4
90	31684	92	6
91	31687	93	6
92	31699	94	5
93	31927	95	4
94	30688	96	4
95	28603	97	3
96	28615	98	6
97	28627	99	4
98	28594	100	5
99	28633	101	5
100	29800	102	8
101	29455	103	6
102	29476	104	6
103	29461	105	4
104	29489	106	6
105	29491	107	5
106	29497	108	6
107	29506	109	7
108	29771	110	5
109	29254	111	4
110	29263	112	8
111	29266	113	6
112	29275	114	6
113	29278	115	8
114	29287	116	7
115	29302	117	7
116	29374	118	8
117	31393	119	6
118	31426	120	7
119	29512	121	5
120	30538	122	8
121	30547	123	6
122	29398	124	3
123	30235	125	8
124	30406	126	6
125	30445	127	8
126	28957	128	6
127	28969	129	7
128	31135	130	3
129	29770	131	7
130	29812	132	4
131	29830	133	6
132	30178	134	5
133	30184	135	7
134	30169	136	6
135	30163	137	4
136	30214	138	4
137	31885	139	7
138	30628	140	4
139	30631	141	7
140	30643	142	9
141	30658	143	8
142	30664	144	5
143	30313	145	6
144	30316	146	6
145	30325	147	5
146	30341	148	1
147	31795	149	5
148	31783	150	3
149	31804	151	5
150	31810	152	4
151	31900	153	7
152	30421	154	6
153	30409	155	6
154	30430	156	6
155	30436	157	4
156	28648	158	9
157	28660	159	4
158	28663	160	5
159	28738	161	5
160	31570	162	6
161	31569	163	6
162	29785	164	6
163	29788	165	5
164	29419	166	5
165	29386	167	6
166	29407	168	9
167	29410	169	7
168	29413	170	8
169	29416	171	4
170	29431	172	7
171	29446	173	6
172	28651	174	6
173	28297	175	5
174	28306	176	6
175	30880	177	7
176	30886	178	5
177	30904	179	5
178	30943	180	7
179	28915	181	6
180	28921	182	6
181	28945	183	6
182	28948	184	6
183	28903	185	5
184	29182	186	8
185	32059	187	7
186	32047	188	3
187	32044	189	7
188	32062	190	4
189	32069	191	5
190	32071	192	7
191	32065	193	6
192	29536	194	3
193	29551	195	5
194	29557	196	5
195	29566	197	5
196	30607	198	4
197	30604	199	8
198	31027	200	9
199	31069	201	4
200	31051	202	6
201	29158	206	5
202	29167	207	4
203	29194	208	7
204	29191	209	5
205	29641	210	8
206	29623	211	5
207	30385	212	4
208	31012	213	5
209	31064	214	6
210	31453	215	8
211	31489	216	5
212	31492	217	5
213	31495	218	8
214	28861	219	5
215	29938	220	2
216	29926	221	4
217	29944	222	8
218	29954	223	6
219	29955	224	4
220	29971	225	7
221	28993	226	4
222	29050	227	5
223	29089	228	8
224	29104	229	5
225	29107	230	4
226	29137	231	5
227	29122	232	6
228	29125	233	5
229	30253	234	6
230	30259	235	7
231	30244	236	9
232	30307	237	6
233	30292	238	4
234	30301	239	7
235	30988	240	3
236	30985	241	6
237	31006	242	5
238	31024	243	4
239	31942	244	7
240	31951	245	6
241	31459	246	6
242	31441	247	5
243	31396	248	5
244	31432	249	6
245	31465	250	7
246	31473	251	6
247	31561	252	7
248	28516	253	6
249	30910	254	7
250	30568	255	5
251	30544	256	4
252	30580	257	9
253	30577	258	6
254	30595	259	4
255	30619	260	5
256	29308	261	4
257	29317	262	8
258	29329	263	7
259	29335	264	7
260	29341	265	5
261	29362	266	6
262	29365	267	5
263	29371	268	5
264	28678	269	4
265	28687	270	7
266	28693	271	8
267	28468	272	6
268	28747	273	3
269	30856	275	7
270	31246	276	7
271	31957	277	8
272	32134	278	7
273	32095	279	7
274	32137	280	4
275	32140	281	5
276	32128	282	8
277	32155	283	5
278	32161	284	7
279	29513	285	5
280	29530	286	6
281	29533	287	5
282	31249	288	8
283	28285	289	5
284	29143	290	5
285	29110	291	7
286	28456	292	5
287	30691	293	5
288	30697	294	4
289	30685	295	8
290	30709	296	7
291	30037	297	4
292	28436	298	5
293	28444	299	4
294	28439	300	5
295	28435	301	6
296	28471	302	7
297	28477	303	5
298	28525	304	5
299	31255	305	6
300	31258	306	4
301	31261	307	6
302	31201	308	7
303	31207	309	5
304	31231	310	5
305	31232	311	6
306	31237	312	5
307	29845	313	5
308	29821	314	6
309	29857	315	8
310	29884	316	6
311	29869	317	6
312	29888	318	5
313	28807	319	8
314	28810	320	8
315	28840	321	7
316	28981	322	6
317	30958	323	7
318	28414	324	5
319	28360	325	8
320	28405	326	4
321	28426	327	5
322	28429	328	7
323	29992	329	8
324	30001	330	5
325	30010	331	4
326	30019	332	7
327	30028	333	4
328	30025	334	7
329	30034	335	6
330	30046	336	6
331	28582	337	6
332	28702	338	6
