fcode	l2_code	original_row	neighbor_count
1	30769	1	2
2	30742	2	4
3	30760	3	4
4	30766	4	4
5	28720	5	2
6	28315	6	5
7	28729	7	7
8	28723	8	5
9	28894	9	7
10	28901	10	4
11	31213	11	5
12	31217	12	5
13	30478	13	4
14	29929	14	3
15	30481	15	9
16	31528	16	5
17	31531	17	8
18	31537	18	4
19	31540	19	5
20	31552	20	8
21	31673	21	5
22	31675	22	7
23	31679	23	3
24	28984	24	7
25	29020	25	6
26	29029	26	6
27	29044	27	6
28	28393	28	4
29	31882	29	7
30	27826	30	9
31	30208	31	6
32	30226	32	6
33	30505	33	3
34	32167	34	5
35	28051	35	5
36	28036	36	5
37	28066	37	7
38	30502	38	4
39	30520	39	3
40	30526	40	7
41	31825	41	6
42	29242	42	6
43	27877	43	6
44	27889	44	6
45	27865	45	5
46	27907	46	3
47	27898	47	4
48	27925	48	7
49	27868	49	6
50	32025	50	3
51	28378	51	6
52	31858	52	6
53	31864	53	5
54	31867	54	4
55	31876	55	7
56	27817	56	6
57	27787	57	4
58	29905	58	7
59	28075	59	6
60	28093	60	5
61	28114	61	5
62	30367	62	6
63	29467	63	6
64	27991	64	4
65	28015	65	8
66	28018	66	5
67	30952	67	5
68	28201	68	5
69	28207	69	4
70	30949	70	5
71	30970	71	6
72	28321	72	7
73	28336	73	5
74	28345	74	7
75	29062	75	5
76	29083	76	6
77	29077	77	5
78	28327	78	6
79	28366	79	7
80	28783	80	6
81	31507	81	6
82	31510	82	6
83	27841	83	7
84	27694	84	5
85	27712	85	7
86	30796	86	4
87	30790	87	5
88	30898	88	5
89	30787	89	3
90	30388	91	6
91	30377	92	5
92	30403	93	6
93	30376	94	5
94	28879	95	6
95	28870	96	5
96	30817	98	4
97	30823	99	4
98	30826	100	5
99	30835	101	3
100	30838	102	6
101	28504	103	7
102	28501	104	6
103	30469	105	6
104	30487	106	8
105	30463	107	6
106	31840	108	4
107	31849	109	6
108	31843	110	7
109	31186	111	7
110	31031	112	4
111	31018	113	7
112	31036	114	3
113	31042	115	4
114	28108	116	6
115	28144	117	4
116	28165	118	3
117	31684	119	6
118	31687	120	6
119	31699	121	5
120	31927	122	4
121	27793	123	4
122	30688	124	4
123	28603	125	7
124	28615	126	7
125	28627	127	6
126	28594	128	5
127	28633	129	5
128	29800	130	8
129	27811	131	4
130	27838	132	4
131	27823	133	8
132	29455	134	6
133	29476	135	6
134	29461	136	4
135	29489	137	6
136	29491	138	5
137	29497	139	6
138	29506	140	7
139	29771	141	5
140	29254	142	4
141	29263	143	8
142	29266	144	6
143	29275	145	6
144	29278	146	8
145	29287	147	7
146	29302	148	7
147	29374	149	8
148	31393	150	6
149	31426	151	7
150	29512	152	5
151	30538	153	8
152	30547	154	6
153	29398	155	3
154	30235	156	8
155	30406	157	6
156	30445	158	8
157	28957	159	6
158	28969	160	7
159	31135	161	3
160	29770	162	7
161	29812	163	4
162	29830	164	6
163	30178	165	5
164	30184	166	7
165	30169	167	6
166	30163	168	4
167	30214	169	4
168	31885	170	7
169	30628	171	4
170	30631	172	7
171	30643	173	9
172	30658	174	8
173	30664	175	5
174	30313	176	6
175	30316	177	6
176	30325	178	5
177	30341	179	1
178	31795	180	5
179	31783	181	3
180	31804	182	5
181	31810	183	4
182	31900	184	7
183	30421	185	6
184	30409	186	6
185	30430	187	6
186	30436	188	4
187	27856	189	5
188	28648	190	9
189	28660	191	5
190	28663	192	6
191	28738	193	5
192	31570	194	6
193	31569	195	6
194	29785	196	6
195	29788	197	5
196	29419	198	5
197	29386	199	6
198	29407	200	9
199	29410	201	7
200	29413	202	8
201	29416	203	4
202	29431	204	7
203	29446	205	6
204	28651	206	6
205	28297	207	5
206	28306	208	6
207	30880	209	7
208	30886	210	5
209	30904	211	5
210	30943	212	7
211	28072	213	7
212	28087	214	7
213	28915	215	6
214	28921	216	6
215	28945	217	6
216	28948	218	6
217	28903	219	5
218	29182	220	8
219	32059	221	7
220	32047	222	3
221	32044	223	7
222	32062	224	4
223	32069	225	5
224	32071	226	7
225	32065	227	6
226	29536	228	3
227	29551	229	5
228	29557	230	5
229	29566	231	5
230	30607	232	4
231	30604	233	8
232	31027	234	9
233	31069	235	4
234	31051	236	6
235	29158	240	5
236	29167	241	4
237	29194	242	7
238	29191	243	5
239	29641	244	8
240	29623	245	5
241	28126	246	6
242	28132	247	9
243	28138	248	6
244	30385	249	4
245	31012	250	5
246	31064	251	6
247	31453	252	8
248	31489	253	5
249	31492	254	5
250	31495	255	8
251	28861	256	5
252	29938	257	4
253	29926	258	4
254	29944	259	10
255	29954	260	6
256	29955	261	4
257	29971	262	7
258	28993	263	4
259	29050	264	5
260	29089	265	8
261	29104	266	5
262	29107	267	4
263	29137	268	5
264	29122	269	6
265	29125	270	5
266	30253	271	6
267	30259	272	7
268	30244	273	9
269	30307	274	6
270	30292	275	4
271	30301	276	7
272	30988	277	3
273	30985	278	6
274	31006	279	5
275	31024	280	4
276	28159	281	3
277	28177	282	5
278	31942	283	7
279	31951	284	6
280	31459	285	6
281	31441	286	5
282	31396	287	5
283	31432	288	6
284	31465	289	7
285	31473	290	6
286	31561	291	7
287	28516	292	6
288	30910	293	7
289	30568	294	5
290	30544	295	4
291	30580	296	9
292	30577	297	6
293	30595	298	4
294	30619	299	5
295	29308	300	4
296	29317	301	8
297	29329	302	7
298	29335	303	7
299	29341	304	5
300	29362	305	6
301	29365	306	5
302	29371	307	5
303	28678	308	4
304	28687	309	7
305	28693	310	8
306	28468	311	6
307	28747	312	3
308	30856	314	7
309	31246	315	7
310	31957	316	8
311	32134	317	7
312	32095	318	7
313	32137	319	4
314	32140	320	5
315	32128	321	8
316	32155	322	5
317	32161	323	7
318	29513	324	5
319	29530	325	6
320	29533	326	5
321	31249	327	8
322	28285	328	5
323	29143	329	5
324	29110	330	7
325	28456	331	6
326	30691	332	5
327	30697	333	4
328	30685	334	8
329	30709	335	7
330	30037	336	4
331	27715	337	5
332	27727	338	5
