"","date","obs_dengue_cases","pop_total","fcode","monthN","epidemic_flag","epidemic_flag_poisson","epidemic_flag_poisson2","epidemic_flag_nb","epidemic_flag_quant","threshold_poisson","threshold_poisson2","threshold_nb","threshold","threshold_quant","obs_inc","epidemic_flag_fixed","year","alarmN","alarmN_pois","alarmN_quant","alarmN_fixed","N_epidemic_sd","N_epidemic_pois","N_epidemic_quant","N_epidemic_fixed","inc"
"1",2015-07-01,9,160695,"TTYTKV_AN_BIEN_KG",7,0,0,0,0,0,22,20,21,38.523884127479,29,5.60067208064968,0,2015,0,0,0,0,NA,NA,NA,NA,5.60067208064968
"2",2015-08-01,13,160695,"TTYTKV_AN_BIEN_KG",8,0,0,0,0,0,19,16,17,28.3538728169377,20.6,8.08985967204953,0,2015,0,0,0,0,NA,NA,NA,NA,8.08985967204953
"3",2015-09-01,18,160695,"TTYTKV_AN_BIEN_KG",9,0,0,0,0,0,20,18,19,33.7354165649513,25.4,11.2013441612994,0,2015,0,0,0,0,NA,NA,NA,NA,11.2013441612994
"4",2015-10-01,40,160695,"TTYTKV_AN_BIEN_KG",10,1,1,1,1,1,22,21,21,38.5063777638709,29.4,24.8918759139986,0,2015,1,1,1,0,40,40,40,NA,24.8918759139986
"5",2015-11-01,18,160695,"TTYTKV_AN_BIEN_KG",11,1,1,1,1,1,12,10,11,13.3484692283495,9,11.2013441612994,0,2015,2,2,2,0,18,18,18,NA,11.2013441612994
"6",2015-12-01,17,160695,"TTYTKV_AN_BIEN_KG",12,0,1,1,1,0,13,11,12,25.710206696946,19.8,10.5790472634494,0,2015,2,3,2,0,17,17,17,NA,10.5790472634494
"7",2016-01-01,5,160695,"TTYTKV_AN_BIEN_KG",1,0,0,0,0,1,6,5,5,6.53589667773576,4.8,3.11148448924982,0,2016,2,3,3,0,5,5,5,NA,3.11148448924982
"8",2016-02-01,0,160695,"TTYTKV_AN_BIEN_KG",2,0,0,0,0,0,11,9,9,16.5813411800185,12.8,0,0,2016,1,2,2,0,0,0,0,NA,0
"9",2016-03-01,3,160695,"TTYTKV_AN_BIEN_KG",3,0,0,0,0,0,12,10,11,16.4880884817015,12.6,1.86689069354989,0,2016,0,1,1,0,NA,3,3,NA,1.86689069354989
"10",2016-04-01,14,160695,"TTYTKV_AN_BIEN_KG",4,0,0,1,1,0,15,12,13,28.5093280618962,20.75,8.7121565698995,0,2016,0,0,1,0,NA,NA,14,NA,8.7121565698995
"11",2016-05-01,11,160695,"TTYTKV_AN_BIEN_KG",5,0,0,0,0,0,19,17,18,38.673623714392,29,6.84526587634961,0,2016,0,0,0,0,NA,NA,NA,NA,6.84526587634961
"12",2016-06-01,9,160695,"TTYTKV_AN_BIEN_KG",6,0,0,0,0,0,21,19,19,52.3894458368045,37.75,5.60067208064968,0,2016,0,0,0,0,NA,NA,NA,NA,5.60067208064968
"13",2016-07-01,10,160695,"TTYTKV_AN_BIEN_KG",7,0,0,0,0,0,20.025,18,19,36.8596057893121,28.25,6.22296897849964,0,2016,0,0,0,0,NA,NA,NA,NA,6.22296897849964
"14",2016-08-01,27,160695,"TTYTKV_AN_BIEN_KG",8,1,1,1,1,1,16,14,15,23.142135623731,20.5,16.802016241949,0,2016,1,1,1,0,27,27,27,NA,16.802016241949
"15",2016-09-01,17,160695,"TTYTKV_AN_BIEN_KG",9,0,0,1,0,0,19,16,17,26.6374561573836,25,10.5790472634494,0,2016,1,1,1,0,17,17,17,NA,10.5790472634494
"16",2016-10-01,18,160695,"TTYTKV_AN_BIEN_KG",10,0,0,0,0,0,23,21,21,38.5063777638709,29.4,11.2013441612994,0,2016,1,1,1,0,18,18,18,NA,11.2013441612994
